Číslo,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
576972,Bělá,221,164,163,14,0,0,12,22,4,2,0,4,0,0,25,0,4,52,1,0,6,0,0,1,0,14,2
576981,Benecko,900,678,673,85,2,1,26,99,37,12,5,9,0,5,76,1,28,137,1,4,47,0,5,2,4,84,3
576999,Benešov u Semil,687,445,443,25,0,0,21,94,30,7,6,10,0,0,47,0,8,120,0,1,9,0,2,1,0,60,2
577006,Bozkov,469,341,336,29,0,0,14,47,24,1,5,5,0,1,26,2,9,102,12,0,20,0,2,1,0,34,2
577014,Bradlecká Lhota,201,146,144,10,0,1,15,20,8,1,0,2,0,0,29,0,3,43,0,0,3,0,0,0,0,9,0
577031,Bukovina u Čisté,170,117,114,9,0,1,9,20,10,2,1,0,0,1,14,0,2,21,0,0,11,0,0,0,0,13,0
577049,Bystrá nad Jizerou,97,66,66,5,0,0,2,15,5,2,3,2,0,0,8,0,0,21,0,0,0,0,0,0,0,3,0
577057,Čistá u Horek,458,301,298,28,1,0,11,63,16,3,3,6,1,0,19,0,7,91,0,0,20,0,1,0,1,26,1
577073,Háje nad Jizerou,536,358,355,23,0,4,13,85,44,2,3,6,0,0,46,0,11,60,2,0,13,2,0,1,2,38,0
577081,Harrachov,1339,1001,987,227,1,0,46,152,51,10,10,17,0,0,139,0,59,184,2,0,21,0,4,1,1,60,2
